Genus species,Data_Name_As,Habitat,locality,lineage,musrego,Sex,SVL,HLL,HW,FLL,IN,EN,EY,THIRD,FTD,Source,HLLsvl,FLLsvl,HWsvl,THIRDsvl,INsvl,ENsvl,EYsvl,FOURTHsvl,PC1,PC2,PC3,PC4
Cophixalus tetzlaffi,Cophixalus tetzlaffi,,,,ZMB 62600,M,22.1,11.2,8.1,,2.5,2,2.8,1.2,,Gunther 2003,,,,,,,,,,,,
Cophixalus timidus,Cophixalus timidus,,,,pooled n=14,M,14.7,7.1,5.73,,1.4,1.3,1.91,0.87,,Kraus & Allison 2006,,,,,,,,,,,,
Cophixalus timidus,Cophixalus timidus,,,,pooled n=15,F,17.5,8.05,6.65,,1.68,1.52,2.28,0.98,,Kraus & Allison 2006,,,,,,,,,,,,
Cophixalus tridactylus,Cophixalus tridactylus,,,,ZMB 62338,M,15.5,7.5,5.5,,1.7,1.6,2.1,0.4,,Gunther 2006,,,,,,,,,,,,
Cophixalus variabilis,Cophixalus variabilis,,,,pooled n=20,M,15.5,8.06,6,,1.55,1.31,2.01,0.91,,Kraus & Allison 2006,,,,,,,,,,,,
Cophixalus variabilis,Cophixalus variabilis,,,,pooled n=21,F,16.8,8.7,6.2,,1.6,1.37,2.02,1.04,,Kraus & Allison 2006,,,,,,,,,,,,
Cophixalus verecundus,Cophixalus verecundus,,,,AMNH 130405,M,16.1,6.1,6.9,,1.5,1.5,1.9,0.45,,Zweifel & Parker 1989,,,,,,,,,,,,
Cophixalus viridis,Cophixalus viridis,,,,SAMA R65103,M,16,8.1,6.5,,2,1.5,2.3,0.9,0.8,Gunther et al. 2014,,,,,,,,,,,,
Cophixalus viridis,Cophixalus viridis,,,,SAMA R65104,M,15.8,8.1,6.1,,1.8,1.6,2.2,1,0.7,Gunther et al. 2014,,,,,,,,,,,,
Cophixalus viridis,Cophixalus viridis,,,,SAMA R65105,M,16.2,7.9,6.5,,1.9,1.8,2.4,1.1,0.9,Gunther et al. 2014,,,,,,,,,,,,
Cophixalus viridis,Cophixalus viridis,,,,SAMA R65107,F,18.4,9.7,7,,2.1,1.8,2.5,1.3,0.9,Gunther et al. 2014,,,,,,,,,,,,
Cophixalus viridis,Cophixalus viridis,,,,PNGNM 24043,F,18.5,9.3,6.9,,2.1,1.8,2.6,1.2,1,Gunther et al. 2014,,,,,,,,,,,,
Cophixalus viridis,Cophixalus viridis,,,,PNGNM 24044,F,18.7,9.2,7.4,,2.3,1.8,2.5,1.3,1,Gunther et al. 2014,,,,,,,,,,,,
Cophixalus viridis,Cophixalus viridis,,,,ZMB 79523,F,18.1,9,6.8,,2,2,2.2,1.1,0.9,Gunther et al. 2014,,,,,,,,,,,,
Cophixalus viridis,Cophixalus viridis,,,,ZMB 79524,F,20.1,9.6,6.8,,2.1,1.8,2.7,1.2,1,Gunther et al. 2014,,,,,,,,,,,,
Cophixalus wempi,Cophixalus wempi,,,,SAMA R61866,M,15.5,7.9,5.8,,1.6,1.4,2.1,1,,Richards & Oliver 2010,,,,,,,,,,,,
Cophixalus zweifeli,Cophixalus zweifeli,2,Cape Melville,1,,F,43.13,20.84,15.3,11.45,,,,2.35,,Hoskin 2018,0.483190355,0.265476466,0.354741479,0.054486436,,,,,1.73326,-1.35714,-1.66639,0.76813
Cophixalus zweifeli,Cophixalus zweifeli,2,Cape Melville,1,,F,45.4,20.8,14.2,,,,,2.45,,Hoskin 2018,0.45814978,,0.31277533,0.053964758,,,,,#NULL!,#NULL!,#NULL!,#NULL!
Cophixalus zweifeli,Cophixalus zweifeli,2,Cape Melville,1,SAMAR51080,F,41.5,20.2,12.8,,,,,2.4,,Hoskin 2018,0.486746988,,0.308433735,0.057831325,,,,,#NULL!,#NULL!,#NULL!,#NULL!
Cophixalus zweifeli,Cophixalus zweifeli,2,Cape Melville,1,conx5316,M,36.3,17.1,12.4,8.9,,,,1.8,,Hoskin 2018,0.47107438,0.245179063,0.341597796,0.049586777,,,,,0.98374,-1.23116,-1.36763,-0.62557
Cophixalus zweifeli,Cophixalus zweifeli,2,Cape Melville,1,conx5315,M,37.9,17.2,12.9,9.6,,,,1.9,,Hoskin 2018,0.453825858,0.253298153,0.340369393,0.050131926,,,,,1.1208,-1.33976,-1.19036,0.59532
Cophixalus zweifeli,Cophixalus zweifeli,2,Cape Melville,1,conx5318,F,46.2,22.5,17.1,12.3,,,,2.74,,Hoskin 2018,0.487012987,0.266233766,0.37012987,0.059307359,,,,,2.11016,-0.85462,-1.08667,0.80092
Cophixalus zweifeli,Cophixalus zweifeli,2,Cape Melville,1,conx5317,F,48.9,22.3,17.2,12.4,,,,2.65,,Hoskin 2018,0.45603272,0.253578732,0.351738241,0.054192229,,,,,2.14482,-1.5814,-0.68884,0.60714
Copiula annanoreenae,Copiula annanoreenae,,,,SAMA R65109,M,22,11.1,8.6,,2.7,1.8,2.6,0.6,1,Gunther et al. 2014,,,,,,,,,,,,
Copiula bisyllaba,Copiula bisyllaba,,,,SAMA R71516,,29.6,15.6,11,,3.3,2.5,2.7,1,1.3,Gunther & Richards 2020,,,,,,,,,,,,
Copiula bisyllaba,Copiula bisyllaba,,,,ZMB 89780,,27.7,15.4,10.8,,3.3,2.5,2.8,0.9,1.4,Gunther & Richards 2020,,,,,,,,,,,,
Copiula bisyllaba,Copiula bisyllaba,,,,SAMA R71454,,33.3,17.3,13,,3.7,2.6,2.9,1,1.5,Gunther & Richards 2020,,,,,,,,,,,,
Copiula bisyllaba,Copiula bisyllaba,,,,ZMB 89781,,29.9,15.6,12,,3.5,2.6,3,0.8,1.3,Gunther & Richards 2020,,,,,,,,,,,,
Copiula bisyllaba,Copiula bisyllaba,,,,SAMA R71517,,33.3,18.2,12.1,,3.7,3,3,1.1,1.5,Gunther & Richards 2020,,,,,,,,,,,,
Copiula bisyllaba,Copiula bisyllaba,,,,SAMA R71455,,29,15.2,10.5,,2.8,2.4,2.8,0.7,1.1,Gunther & Richards 2020,,,,,,,,,,,,
Copiula bisyllaba,Copiula bisyllaba,,,,SJR 14188,,28.9,15.2,10.3,,2.9,2.3,2.8,0.9,1.4,Gunther & Richards 2020,,,,,,,,,,,,
Copiula bisyllaba,Copiula bisyllaba,,,,ZMB 89779,,28.7,15.9,11.1,,3.1,2.4,2.7,0.8,1.3,Gunther & Richards 2020,,,,,,,,,,,,
Copiula bisyllaba,Copiula bisyllaba,,,,SAMA R71515 ,,27.6,14.6,11,,3.3,2.3,2.6,0.9,1.4,Gunther & Richards 2020,,,,,,,,,,,,
Copiula derongo,Austrochaperina derongo,,,,AMNH A82289,F,35.6,15.2,12.8,,,,,0.9,,,,,,,,,,,,,,
Copiula derongo,Austrochaperina derongo,,,,AMNH A82289,F,35.6,15.2,12.8,,3.5,2.7,3.2,0.9,,Zweifel 2000,,,,,,,,,,,,
Copiula guttata,Austrochaperina guttata,,,,MCZ A92812,,42.8,21.6,16.1,,,,,1.6,,,,,,,,,,,,,,
Copiula guttata,Austrochaperina guttata,,,,MCZ A92812,F,42.8,21.6,16.1,,4.5,3.4,4.5,1.6,,Zweifel 2000,,,,,,,,,,,,
Copiula lennarti,Copiula lennarti,,,,SAMA R64990,sub,31.3,16.7,12.2,,3.7,2.8,2.7,0.8,1.5,Gunther et al. 2014,,,,,,,,,,,,
Copiula lennarti,Copiula lennarti,,,,SAMA R64991,M,32.2,17.4,13.2,,3.6,2.8,3,1.1,1.5,Gunther et al. 2014,,,,,,,,,,,,
Copiula lennarti,Copiula lennarti,,,,SAMA R64992,F,32.3,17.4,12.5,,3.7,3,3,0.9,1.4,Gunther et al. 2014,,,,,,,,,,,,
Copiula lennarti,Copiula lennarti,,,,SAMA R64993,F,38.5,20.4,14,,4.3,3,3.2,1.3,1.7,Gunther et al. 2014,,,,,,,,,,,,
Copiula lennarti,Copiula lennarti,,,,SAMA R64994,M,33.8,18.2,12.2,,3.6,2.5,3.1,1.1,1.5,Gunther et al. 2014,,,,,,,,,,,,
Copiula lennarti,Copiula lennarti,,,,ZMB 79525,sub,28.5,15.2,11.4,,3.3,2.6,2.7,1,1.3,Gunther et al. 2014,,,,,,,,,,,,
Copiula mosbyae,Copiula mosbyae,,,,SAMA R71451,,27.4,15.6,10.7,,3.2,2.4,3,0.9,1.2,Gunther & Richards 2020,,,,,,,,,,,,
Copiula mosbyae,Copiula mosbyae,,,,ZMB 89777,,27.8,14.1,10,,3.1,2.4,2.6,1,1.2,Gunther & Richards 2020,,,,,,,,,,,,
Copiula mosbyae,Copiula mosbyae,,,,SAMA R71452,,28.6,14.5,11.1,,3.6,2.4,2.5,1,1.2,Gunther & Richards 2020,,,,,,,,,,,,
Copiula mosbyae,Copiula mosbyae,,,,SJR 4973,,30.5,17.2,10.8,,3.6,2.6,2.9,1.1,1.6,Gunther & Richards 2020,,,,,,,,,,,,
Copiula mosbyae,Copiula mosbyae,,,,ZMB 89778,,27.9,14.6,10,,3.1,2.3,2.7,1,1.3,Gunther & Richards 2020,,,,,,,,,,,,
Copiula rivularis,Austrochaperina rivularis,,,,AMNH A130551,F,49,21.8,17.1,,4.8,3.4,4.8,1.95,,Zweifel 2000,,,,,,,,,,,,
Gastrophrynoides borneensis,Gastrophrynoides borneensis,,,,UNIMAS R21555,,26.8,12.7,8.9,,2.5,2.1,1.5,0.8,,Matsui et al. 2017,,,,,,,,,,,,
Gastrophrynoides immaculatus,Gastrophrynoides immaculatus,,,,HC 00279,,29.3,12.3,8.4,,2.7,2.8,1.5,0.82,,Onn et al. 2009,,,,,,,,,,,,
Gastrophrynoides immaculatus,Gastrophrynoides immaculatus,,,,HC 00199,,24.4,9.4,6.1,,2.4,2.2,1.4,0.7,,Onn et al. 2009,,,,,,,,,,,,
Gastrophrynoides immaculatus,Gastrophrynoides immaculatus,,,,LSUHC 9166,,26.2,12,7,,2.6,2.1,1.6,0.8,,Onn et al. 2009,,,,,,,,,,,,
Hylophorbus atrifasciatus,Hylophorbus atrifasciatus,,,,BPBM 34726,M,22.8,13.1,8.7,,2.5,1.9,2.6,0.64,1.16,Kraus 2013,,,,,,,,,,,,
Hylophorbus nigrinus,Hylophorbus nigrinus,,,,ZMB 62402,,28.6,15.7,10.4,,3,2.4,3.4,0.8,1.4,Gunther 2001,,,,,,,,,,,,
Hylophorbus picoides,Hylophorbus picoides,,,,ZMB 61971,,28.8,16.8,10.3,,3,2,3.9,0.8,1.4,Gunther 2001,,,,,,,,,,,,
Hylophorbus proekes,Hylophorbus proekes,,,,BPBM 22761,M,33.4,17.3,13.1,,3.3,2.1,4.1,0.9,1.73,Kraus & Allison 2009,,,,,,,,,,,,
Hylophorbus rainerguntheri,Hylophorbus rainerguntheri,,,,SAMA R61938,,30.4,15.9,11.06,,2.8,2.1,3.8,0.8,1.2,Richards & Oliver 2007,,,,,,,,,,,,
Hylophorbus rainerguntheri,Hylophorbus rainerguntheri,,,,UPNG 10039 ,,29.7,16.5,10.88,,2.8,1.9,3.6,0.7,1.2,Richards & Oliver 2007,,,,,,,,,,,,
Hylophorbus rainerguntheri,Hylophorbus rainerguntheri,,,,SAMA R61939,,30.05,17.2,10,,2.8,1.9,3.7,0.8,1.4,Richards & Oliver 2007,,,,,,,,,,,,
Hylophorbus rainerguntheri,Hylophorbus rainerguntheri,,,,SAMA R61940,,30.81,18.9,10.55,,2.8,2,3.5,1,1.6,Richards & Oliver 2007,,,,,,,,,,,,
Hylophorbus rainerguntheri,Hylophorbus rainerguntheri,,,,UPNG 10038,,29.9,17.85,10.41,,2.9,1.9,3.4,0.9,1.5,Richards & Oliver 2007,,,,,,,,,,,,
Hylophorbus richardsi,Hylophorbus richardsi,,,,ZMB 62761,,21.5,11.9,8.2,,2.4,1.9,2.9,0.5,0.9,Gunther 2001,,,,,,,,,,,,
Hylophorbus sextus,Hylophorbus sextus,,,,MZB Amph.6918,,30.5,10.9,11.3,,3.4,2.5,4.5,1,1.5,Gunther 2001,,,,,,,,,,,,
Hylophorbus sigridae,Hylophorbus sigridae,,,,SAMA R64998,subF,21.6,13.1,7.6,,2.3,1.6,2.7,0.6,0.9,Gunther et al. 2014,,,,,,,,,,,,
Hylophorbus sigridae,Hylophorbus sigridae,,,,SAMA R64999,M,23.1,13,8.3,,2.7,1.7,2.9,0.7,1.2,Gunther et al. 2014,,,,,,,,,,,,
Hylophorbus sigridae,Hylophorbus sigridae,,,,SAMA R65000,,23.5,13.2,8.2,,2.7,1.7,2.8,0.6,1.1,Gunther et al. 2014,,,,,,,,,,,,
Hylophorbus sigridae,Hylophorbus sigridae,,,,SAMA R65001,M,24.2,13.7,8.4,,2.8,1.6,3.2,0.8,1.2,Gunther et al. 2014,,,,,,,,,,,,
Hylophorbus sigridae,Hylophorbus sigridae,,,,SAMA 65003,M,23.6,13.6,8.3,,2.5,1.7,3,0.7,1.2,Gunther et al. 2014,,,,,,,,,,,,
Hylophorbus sigridae,Hylophorbus sigridae,,,,SAMA 65004,F,23.9,13.9,8.2,,2.7,1.8,3.1,0.8,1.3,Gunther et al. 2014,,,,,,,,,,,,
Hylophorbus sigridae,Hylophorbus sigridae,,,,ZMB 79526,F,24.1,13.9,8.1,,2.7,1.6,3.2,0.7,1.3,Gunther et al. 2014,,,,,,,,,,,,
Hylophorbus sigridae,Hylophorbus sigridae,,,,ZMB 79527,M,21.2,12.9,7.5,,2.3,1.6,2.7,0.5,1,Gunther et al. 2014,,,,,,,,,,,,
Hylophorbus sigridae,Hylophorbus sigridae,,,,ZMB 79528,M,23.1,13.5,8.1,,2.5,1.7,2.9,0.5,1,Gunther et al. 2014,,,,,,,,,,,,
Hylophorbus tetraphonus,Hylophorbus tetraphonus,,,,ZMB 62386,,27.6,15.4,10.2,,3.1,2.2,3.8,0.9,1.3,Gunther 2001,,,,,,,,,,,,
Hylophorbus wondowi,Hylophorbus wondowi,,,,ZMB 61994,,32.9,19,11.9,,3.5,2.5,3.9,0.9,1.5,Gunther 2001,,,,,,,,,,,,
Mantophryne axanthogaster,Mantophryne axanthogaster,,,,BPBM 20411,M,43.3,20.5,15.7,,3.9,3.2,6.4,1.1,1.66,Kraus & Allison 2009,,,,,,,,,,,,
Mantophryne insignis,Mantophryne insignis,,,,SAMA R69237,M,36.2,20.7,11.8,,3.5,3,3.8,1,1.6,Gunther & Richards 2016,,,,,,,,,,,,
Mantophryne insignis,Mantophryne insignis,,,,ZMB 83181,M,35,19.8,11.5,,3.2,2.9,4.1,1,1.5,Gunther & Richards 2016,,,,,,,,,,,,
Mantophryne insignis,Mantophryne insignis,,,,SJR 13932,M,35.4,19.5,11.6,,3.4,3.1,4,1,1.5,Gunther & Richards 2016,,,,,,,,,,,,
Oreophryne albomaculata,Oreophryne albomaculata,,,,SAMA R65135,M,17.7,8.2,7,,1.9,1.5,2.6,1.1,0.8,Gunther et al. 2014,,,,,,,,,,,,
Oreophryne ampelos,Oreophryne ampelos,,,,AMS 30741,M,31.5,13.4,12.2,,2.5,3,3.5,2.15,,Kraus 2011,,,,,,,,,,,,
Oreophryne ampelos,Oreophryne ampelos,,,,AMS 30742,F,35.1,14,13.1,,2.6,2.9,4.1,2.35,,Kraus 2011,,,,,,,,,,,,
Oreophryne ampelos,Oreophryne ampelos,,,,BPBM 35949,F,30.2,12.5,11.2,,2.5,2.7,3.7,2.3,,Kraus 2011,,,,,,,,,,,,
Oreophryne ampelos,Oreophryne ampelos,,,,AMNH 84535,F,35,15.4,12.9,,2.8,3,4.2,2.56,,Kraus 2011,,,,,,,,,,,,
Oreophryne ampelos,Oreophryne ampelos,,,,AMNH 84536,F,35.1,15,13.6,,2.7,3.1,3.9,2.7,,Kraus 2011,,,,,,,,,,,,
Oreophryne ampelos,Oreophryne ampelos,,,,AMNH 84537,F,33.3,13.8,12.5,,2.6,3,4,2.3,,Kraus 2011,,,,,,,,,,,,
Oreophryne ampelos,Oreophryne ampelos,,,,AMNH 84538,F,31.3,14.2,11.9,,2.4,2.6,3.4,2.38,,Kraus 2011,,,,,,,,,,,,
Oreophryne ampelos,Oreophryne ampelos,,,,AMNH 84539,M,26.3,12,11,,2.3,2.6,3.4,2.05,,Kraus 2011,,,,,,,,,,,,
Oreophryne ampelos,Oreophryne ampelos,,,,AMNH 84540,F,31.6,14,12.2,,2.9,3,3.7,2.54,,Kraus 2011,,,,,,,,,,,,
Oreophryne ampelos,Oreophryne ampelos,,,,AMNH 130500,M,28.9,12.2,10.7,,2.4,2.6,3.4,1.99,,Kraus 2011,,,,,,,,,,,,
Oreophryne anamiatoi,Oreophryne anamiatoi,,,,pooled n=11,M,25.2,11.34,9.828,,2.5956,1.9404,3.024,1.7892,,Kraus & Allison 2009,0.45,,0.39,0.071,0.103,0.077,0.12,,,,,
Oreophryne anamiatoi,Oreophryne anamiatoi,,,,pooled n=4,F,29,13.63,11.31,,2.9,2.291,3.48,2.146,,Kraus & Allison 2009,0.47,,0.39,0.074,0.1,0.079,0.12,,,,,
Oreophryne cameroni,Oreophryne cameroni,,,,BPBM 34677,M,19.8,10.1,8.4,,2,1.9,2.8,1.3,,Kraus 2013,,,,,,,,,,,,
Oreophryne cameroni,Oreophryne cameroni,,,,BPBM 34678,M,20.4,9.9,8,,2.1,2,2.7,1.38,,Kraus 2013,,,,,,,,,,,,
Oreophryne cameroni,Oreophryne cameroni,,,,BPBM 34679,subM,15.6,7.9,5.8,,1.6,1.5,2.1,0.8,,Kraus 2013,,,,,,,,,,,,
Oreophryne cameroni,Oreophryne cameroni,,,,AMNH 78139,M,19.5,9.6,7.2,,1.9,1.8,2.7,0.94,,Kraus 2013,,,,,,,,,,,,
Oreophryne curator,Oreophryne curator,,,,SAMA R65139,M,23.4,10.5,9.6,,2.2,2,3.3,1.6,1.2,Gunther et al. 2014,,,,,,,,,,,,
Oreophryne gagneorum,Oreophryne gagneorum,,,,pooled n=35,M,18.5,9.5,7.4,,1.8,2,2.6,1.34,,Kraus 2013,,,,,,,,,,,,
Oreophryne gagneorum,Oreophryne gagneorum,,,,pooled n=14,F,20.5,10.6,8.2,,1.9,2.2,2.8,1.52,,Kraus 2013,,,,,,,,,,,,
Oreophryne parkopanorum,Oreophryne parkopanorum,,,,BPBM 22787,subM,15.8,8.3,6.3,,1.8,1.4,2.2,0.78,,Kraus 2013,,,,,,,,,,,,
Oreophryne parkopanorum,Oreophryne parkopanorum,,,,BPBM 22788,M,17.5,9,7.1,,1.9,1.7,2.5,0.9,,Kraus 2013,,,,,,,,,,,,
Oreophryne parkopanorum,Oreophryne parkopanorum,,,,BPBM 22789,F,20.1,10,8,,2.2,1.7,2.9,1.14,,Kraus 2013,,,,,,,,,,,,
Oreophryne parkopanorum,Oreophryne parkopanorum,,,,BPBM 22790,M,17.7,8,6.9,,1.8,1.6,2.7,0.85,,Kraus 2013,,,,,,,,,,,,
Oreophryne parkopanorum,Oreophryne parkopanorum,,,,PNGNM 24152,M,17.5,8.7,7,,2.1,1.6,2.5,1.14,,Kraus 2013,,,,,,,,,,,,
Paedophryne amauensis,Paedophryne amauensis,,,,LSUMZ 95000*,M,7.5,3.8,2.85,,0.8,0.6,1.05,0.25,0.3,Rittmeyer et al. 2012,,,,,,,,,,,,
Paedophryne amauensis,Paedophryne amauensis,,,,LSUMZ 95001 ,M,7,3.55,2.75,,0.75,0.55,0.95,0.2,0.25,Rittmeyer et al. 2012,,,,,,,,,,,,
Paedophryne amauensis,Paedophryne amauensis,,,,LSUMZ 95002,M,7.85,3.75,2.75,,0.8,0.6,1,0.2,0.3,Rittmeyer et al. 2012,,,,,,,,,,,,
Paedophryne amauensis,Paedophryne amauensis,,,,LSUMZ 95003 ,M,8,3.9,2.9,,0.85,0.6,1.2,0.25,0.4,Rittmeyer et al. 2012,,,,,,,,,,,,
Paedophryne amauensis,Paedophryne amauensis,,,,LSUMZ 95004 ,M,8,3.95,2.9,,0.9,0.6,1.1,0.25,0.3,Rittmeyer et al. 2012,,,,,,,,,,,,
Paedophryne amauensis,Paedophryne amauensis,,,,LSUMZ 95005 ,M,7.7,3.8,2.9,,0.85,0.65,1,0.2,0.3,Rittmeyer et al. 2012,,,,,,,,,,,,
Paedophryne amauensis,Paedophryne amauensis,,,,LSUMZ 95006 ,M,7.85,3.8,2.75,,0.85,0.6,1.1,0.2,0.3,Rittmeyer et al. 2012,,,,,,,,,,,,
Paedophryne kathismaphlox,Paedophryne kathismaphlox,,,,BPBM 17975 ,F,10.4,3.64,3.952,,0.9048,0.6968,1.248,0.2496,0.3848,Rittmeyer et al. 2012,0.35,,0.38,0.024,0.087,0.067,0.12,0.037,,,,
Paedophryne kathismaphlox,Paedophryne kathismaphlox,,,,BPBM 17976 ,F,10.9,4.142,3.815,,1.0028,0.7957,1.308,0.3052,0.3488,Rittmeyer et al. 2012,0.38,,0.35,0.028,0.092,0.073,0.12,0.032,,,,
Paedophryne kathismaphlox,Paedophryne kathismaphlox,,,,BPBM 17977*,F,10.5,4.095,3.675,,0.9975,0.798,1.26,0.3255,0.3885,Rittmeyer et al. 2012,0.39,,0.35,0.031,0.095,0.076,0.12,0.037,,,,
Paedophryne kathismaphlox,Paedophryne kathismaphlox,,,,BPBM 35353 ,M,10.1,3.939,3.737,,0.9999,0.7979,1.212,0.2929,0.3535,Rittmeyer et al. 2012,0.39,,0.37,0.029,0.099,0.079,0.12,0.035,,,,
Paedophryne oyatubu,Paedophryne oyatubu,,,,BPBM 16433*,F,11.3,4.4974,4.2036,,1.0961,0.7006,1.5029,0.2825,0.3503,Rittmeyer et al. 2012,0.398,,0.372,0.025,0.097,0.062,0.133,0.031,,,,
Paedophryne swiftorum,Paedophryne swiftorum,,,,BPBM 31880 ,M,8.5,3.95,2.8,,0.95,0.55,1.2,0.15,0.35,Rittmeyer et al. 2012,,,,,,,,,,,,
Paedophryne swiftorum,Paedophryne swiftorum,,,,BPBM 31881 ,M,8.9,3.8,2.9,,0.95,0.6,1.25,0.2,0.4,Rittmeyer et al. 2012,,,,,,,,,,,,
Paedophryne swiftorum,Paedophryne swiftorum,,,,BPBM 31882 ,M,8.4,3.7,3,,0.95,0.6,1.25,0.2,0.35,Rittmeyer et al. 2012,,,,,,,,,,,,
Paedophryne swiftorum,Paedophryne swiftorum,,,,BPBM 31883*,M,8.55,4,3,,0.95,0.55,1.25,0.15,0.35,Rittmeyer et al. 2012,,,,,,,,,,,,
Paedophryne swiftorum,Paedophryne swiftorum,,,,BPBM 31884 ,M,8.25,3.85,2.9,,0.9,0.55,1.15,0.2,0.35,Rittmeyer et al. 2012,,,,,,,,,,,,
Paedophryne swiftorum,Paedophryne swiftorum,,,,BPBM 31886 ,M,8.5,4,3,,0.9,0.55,1.25,0.2,0.4,Rittmeyer et al. 2012,,,,,,,,,,,,
Siamophryne troglodytes,Siamophryne troglodytes,,,,AUP-00500,M,22.1,10.8,7.1,,2.3,1.9,3,1.3,,Suwannapoom et al. 2018,,,,,,,,,,,,
Siamophryne troglodytes,Siamophryne troglodytes,,,,AUP-00501,M,24.9,10.1,7.6,,2.3,1.5,3.2,1.3,,Suwannapoom et al. 2018,,,,,,,,,,,,
Siamophryne troglodytes,Siamophryne troglodytes,,,,AUP-00502,M,19.8,10,6.6,,1.9,1.5,2.5,1.2,,Suwannapoom et al. 2018,,,,,,,,,,,,
Siamophryne troglodytes,Siamophryne troglodytes,,,,AUP-00503,M,24.6,12.4,8.6,,2.4,1.9,3,1.2,,Suwannapoom et al. 2018,,,,,,,,,,,,
Siamophryne troglodytes,Siamophryne troglodytes,,,,AUP-00504,M,24.1,11.5,7.5,,2.4,2,2.8,1.1,,Suwannapoom et al. 2018,,,,,,,,,,,,
Siamophryne troglodytes,Siamophryne troglodytes,,,,NAP-06651,M,19.1,9.7,6.6,,1.7,1.2,2.4,1,,Suwannapoom et al. 2018,,,,,,,,,,,,
Siamophryne troglodytes,Siamophryne troglodytes,,,,AUP-00505,,26.6,13.3,8.5,,2.6,2,3.3,1.5,,Suwannapoom et al. 2018,,,,,,,,,,,,
Siamophryne troglodytes,Siamophryne troglodytes,,,,AUP-00506,,25.9,10.2,7.7,,2.7,1.6,3.6,1.5,,Suwannapoom et al. 2018,,,,,,,,,,,,
Siamophryne troglodytes,Siamophryne troglodytes,,,,AUP-00507,,25,12.8,9.4,,2.5,2.1,3.2,1.4,,Suwannapoom et al. 2018,,,,,,,,,,,,
Siamophryne troglodytes,Siamophryne troglodytes,,,,AUP-00508,,27.8,13.2,8.1,,2.8,2.2,3.4,1.6,,Suwannapoom et al. 2018,,,,,,,,,,,,
Siamophryne troglodytes,Siamophryne troglodytes,,,,NAP-06652,,26.1,12.3,8.8,,2.7,1.7,3,1.3,,Suwannapoom et al. 2018,,,,,,,,,,,,
Sphenophryne coggeri,Oxydactyla coggeri,,,,AMS R22851,M,23.5,8.4,9.4,,2.2,1.65,2.65,0.54,,Zweifel 2000,,,,,,,,,,,,
Sphenophryne magnitympanum,Liophryne magnitympanum,,,,BPBM 19358,M,23.2,12.4,10.1,,3.2,1.9,3,0.65,1.13,Kraus & Allison 2009,,,,,,,,,,,,
Sphenophryne rubra,Liophryne rubra,,,,UPNG 9361,F,37.5,21.1,15,,4.9,2.8,4,1.1,,Zweifel 2000,,,,,,,,,,,,
Sphenophryne rubra,Liophryne rubra,,,,UPNG 4147,F,37,21,14.5,,4.3,2.8,4.1,0.9,,Zweifel 2000,,,,,,,,,,,,
Sphenophryne similis,Liophryne similis,,,,AMNH A130570,M,49.7,22.9,19.3,,5.2,3.5,5.1,1.55,,Zweifel 2000,,,,,,,,,,,,
Sphenophryne stenodactyla,Oxydactyla stenodactyla,,,,AMNH A66047,F,30.4,9.2,10.6,,2.5,1.6,2.9,0.4,,Zweifel 2000,,,,,,,,,,,,
Vietnamophryne inexpectata,Vietnamophryne inexpectata,,,,ZMMU A-5820,M,14.2,7.2,5.4,,1.5,0.9,1.9,0.3,,Poyarkov et al. 2018,,,,,,,,,,,,
Vietnamophryne occidentalis,Vietnamophryne occidentalis,,,,ZMMU A-5822,M,20.5,10,6.8,,2.4,1.4,2.5,0.7,,Poyarkov et al. 2018,,,,,,,,,,,,
Vietnamophryne orlovi,Vietnamophryne orlovi,,,,ZMMU A-5821,M,15.4,7.1,5.8,,1.8,2,1.8,0.4,,Poyarkov et al. 2018,,,,,,,,,,,,
Xenorhina arboricola,Xenorhina arboricola,,,,BPBM 13746,,41.7,19.8,12.6,,2.9,3.4,2.5,2.1,2.1,Allison & Kraus 2000,,,,,,,,,,,,
Xenorhina arboricola,Xenorhina arboricola,,,,BPBM 13747,,37.9,17.2,12.3,,2.6,3.3,2.8,2,2,Allison & Kraus 2000,,,,,,,,,,,,
Xenorhina arboricola,Xenorhina arboricola,,,,BPBM 13745,,46.4,20.8,13.1,,3,3.6,2.9,2.5,2.1,Allison & Kraus 2000,,,,,,,,,,,,
Xenorhina brachyrhyncha,Xenorhina brachyrhyncha,,,,AMS 15021,F,21.2,10.3,8,,1.6,1.7,1.6,0.53,,Kraus 2011,,,,,,,,,,,,
Xenorhina lacrimosa,Xenorhina lacrimosa,,,,SAMA R71647 ,F,34.3,15,11.9,,1.7,2.5,2.4,0.8,1.3,Gunther & Richards 2021,,,,,,,,,,,,
Xenorhina lacrimosa,Xenorhina lacrimosa,,,,ZMB 91129 ,M,36.9,17,14.6,,2.3,3,2.7,1,1.6,Gunther & Richards 2021,,,,,,,,,,,,
Xenorhina lacrimosa,Xenorhina lacrimosa,,,,ZMB 91130 ,M,41,18.6,16,,2.6,3.6,2.8,1.1,1.5,Gunther & Richards 2021,,,,,,,,,,,,
Xenorhina lacrimosa,Xenorhina lacrimosa,,,,SAMA R71648 ,M,36.2,15.3,13.1,,2.2,2.6,2.3,0.8,1.3,Gunther & Richards 2021,,,,,,,,,,,,
